spots,longtitude,latitude,datetime
Arts & Crafts Store,40.71981038,-74.00258103,Tue Apr 03 18:00:09 +0800 2012
Bridge,40.60679958,-74.04416981,Tue Apr 03 18:00:25 +0800 2012
Home (private),40.71616168,-73.88307006,Tue Apr 03 18:02:24 +0800 2012
Medical Center,40.7451638,-73.98251878,Tue Apr 03 18:02:41 +0800 2012
Food Truck,40.74010383,-73.98965836,Tue Apr 03 18:03:00 +0800 2012
Food & Drink Shop,40.69042712,-73.95468678,Tue Apr 03 18:04:00 +0800 2012
Coffee Shop,40.75159143,-73.9741214,Tue Apr 03 18:04:38 +0800 2012
Bus Station,40.77942173,-73.95534113,Tue Apr 03 18:04:42 +0800 2012
Home (private),40.61915107,-74.0358876,Tue Apr 03 18:06:18 +0800 2012
fice,40.74337624,-73.98483084,Fri Apr 20 13:45:08 +0800 2012
Train Station,40.7507948,-73.99357639,Fri Apr 20 13:45:41 +0800 2012
Gas Station / Garage,40.74553378,-74.16464567,Fri Apr 20 13:46:47 +0800 2012
Office,40.75422695,-73.98861287,Fri Apr 20 13:46:58 +0800 2012
Office,40.75630916,-73.97491918,Fri Apr 20 13:48:19 +0800 2012
Office,40.65553514,-74.00862938,Fri Apr 20 13:48:38 +0800 2012
Restaurant,40.73891001,-73.99141347,Fri Apr 20 13:49:11 +0800 2012
Convenience Store,40.75730233,-73.929108,Fri Apr 20 13:49:18 +0800 2012
Road,40.76117086,-74.01128769,Fri Apr 20 13:50:07 +0800 2012
Deli / Bodega,40.74349261,-73.98497432,Fri Apr 20 13:50:11 +0800 2012
Miscellaneous Shop,40.89239657,-74.11344767,Fri Apr 20 13:50:19 +0800 2012
Coffee Shop,40.74433544,-73.99541344,Fri Apr 20 13:50:22 +0800 2012
Road,40.76117086,-74.01128769,Fri Apr 20 13:50:43 +0800 2012
Professional & Other Places,40.76577448,-74.02238952,Fri Apr 20 13:51:15 +0800 2012
Park,40.87192313,-73.92123697,Fri Apr 20 13:51:16 +0800 2012
Other Great Outdoors,40.87320086,-73.92360224,Fri Apr 20 13:51:29 +0800 2012
Coffee Shop,40.73375384,-74.00628237,Fri Apr 20 13:51:40 +0800 2012
Smoke Shop,40.75204393,-73.98546214,Fri Apr 20 13:51:51 +0800 2012
Theater,40.66715575,-73.99066167,Fri Apr 20 13:51:53 +0800 2012
Bakery,40.737147,-74.030994,Fri Apr 20 13:51:58 +0800 2012
Coffee Shop,40.75389731,-73.97855401,Fri Apr 20 13:52:21 +0800 2012
Ferry,40.64440554,-74.07295704,Fri Apr 20 13:53:02 +0800 2012
Smoke Shop,40.75204393,-73.98546214,Fri Apr 20 13:53:20 +0800 2012
Office,40.72608796,-74.00557995,Fri Apr 20 13:53:26 +0800 2012
Theater,40.73012815,-74.00051514,Fri Apr 20 13:53:47 +0800 2012
Donut Shop,40.72620616,-73.98616231,Fri Apr 20 13:54:37 +0800 2012
College Academic Building,40.84129182,-73.94046256,Fri Apr 20 13:55:05 +0800 2012
Office,40.75323752,-73.97326049,Fri Apr 20 13:56:57 +0800 2012
Office,40.72059147,-74.03243643,Fri Apr 20 13:57:56 +0800 2012
Office,40.75665893,-73.98240893,Fri Apr 20 13:58:13 +0800 2012
Ferry,40.67310559,-74.04338357,Fri Apr 20 13:58:31 +0800 2012
Gift Shop,40.885582,-73.909884,Fri Apr 20 13:59:09 +0800 2012
Other Great Outdoors,40.671897,-73.96650411,Fri Apr 20 13:59:53 +0800 2012
Bar,40.75006726,-74.00270154,Fri Apr 20 13:59:55 +0800 2012
Sandwich Place,40.79015116,-73.94837268,Fri Apr 20 14:00:06 +0800 2012
Bar,40.76161472,-73.97514301,Fri Apr 20 14:00:08 +0800 2012
Asian Restaurant,40.764177,-73.97082121,Fri Apr 20 14:00:15 +0800 2012
Italian Restaurant,40.74343166,-73.99976338,Fri Apr 20 14:00:25 +0800 2012
Clothing Store,40.73517852,-74.00484775,Fri Apr 20 14:00:46 +0800 2012
Building,40.69343783,-73.98600161,Fri Apr 20 14:02:03 +0800 2012
Burrito Place,40.80494,-73.992149,Fri Apr 20 14:02:17 +0800 2012
Office,40.69372397,-73.98639187,Fri Apr 20 14:02:21 +0800 2012
Bakery,40.69375934,-73.98675917,Fri Apr 20 14:02:31 +0800 2012
Train Station,40.75280621,-73.97717535,Fri Apr 20 14:02:57 +0800 2012
Subway,40.6653401,-73.99291992,Fri Apr 20 14:03:12 +0800 2012
Subway,40.66039193,-73.99806976,Fri Apr 20 14:03:23 +0800 2012
Food & Drink Shop,40.76710459,-73.92189144,Fri Apr 20 14:03:24 +0800 2012
Office,40.75141877,-73.9912413,Fri Apr 20 14:03:39 +0800 2012
Automotive Shop,40.8619815,-74.04790454,Fri Apr 20 14:03:55 +0800 2012
Hotel,40.72383329,-74.00526092,Fri Apr 20 14:04:13 +0800 2012
Office,40.72880268,-74.00656355,Fri Apr 20 14:04:25 +0800 2012
Deli / Bodega,40.67744017,-73.97271524,Fri Apr 20 14:04:50 +0800 2012
Office,40.7544376,-73.97365651,Fri Apr 20 14:05:22 +0800 2012
Performing Arts Venue,40.75848907,-73.97936621,Fri Apr 20 14:05:38 +0800 2012
Stadium,40.75044987,-73.99221104,Fri Apr 20 14:05:49 +0800 2012
Coffee Shop,40.7524962,-73.99423125,Fri Apr 20 14:05:51 +0800 2012
Music Venue,40.680189,-73.98386,Fri Apr 20 14:05:59 +0800 2012
Coffee Shop,40.885765,-73.9101,Fri Apr 20 14:06:09 +0800 2012
American Restaurant,40.74838488,-73.98577205,Fri Apr 20 14:06:35 +0800 2012
Bus Station,40.6323191,-73.91826886,Fri Apr 20 14:07:16 +0800 2012
Clothing Store,40.75459739,-73.98423398,Fri Apr 20 14:07:30 +0800 2012
Dessert Shop,40.75993563,-73.828125,Sat May 26 01:30:40 +0800 2012
Arts & Crafts Store,40.792805,-73.97112233,Sat May 26 01:31:20 +0800 2012
Fast Food Restaurant,40.854833,-74.12108551,Sat May 26 01:32:47 +0800 2012
Home (private),40.92549193,-74.1063776,Sat May 26 01:33:18 +0800 2012
Theater,40.76250358,-73.98472309,Sat May 26 01:34:28 +0800 2012
Bar,40.714873,-73.95885,Sat May 26 01:35:57 +0800 2012
Government Building,40.92846162,-74.03604984,Sat May 26 01:36:03 +0800 2012
Bar,40.7280735,-73.89178925,Sat May 26 01:36:23 +0800 2012
Japanese Restaurant,40.72210017,-73.98811931,Sat May 26 01:36:55 +0800 2012
Eastern European Restaurant,40.72915518,-73.9870289,Sat May 26 01:37:52 +0800 2012
Bus Station,40.84884583,-73.93841743,Sat May 26 01:38:07 +0800 2012
Home (private),40.79012656,-73.8477874,Sat May 26 01:38:14 +0800 2012
Airport,40.69881196,-73.80872726,Sat May 26 01:39:34 +0800 2012
Bar,40.74168213,-73.99101175,Sat May 26 01:41:20 +0800 2012
Sushi Restaurant,40.7679762,-73.98173745,Sat May 26 01:41:57 +0800 2012
Park,40.73083612,-73.99764061,Sat May 26 01:41:59 +0800 2012
Music Venue,40.71863981,-73.95997167,Sat May 26 01:42:13 +0800 2012
General Travel,40.7141721,-73.99654971,Sat May 26 01:42:29 +0800 2012
Beer Garden,40.74055798,-74.00777996,Sat May 26 01:42:54 +0800 2012
Bar,40.72226743,-73.98837183,Sat May 26 01:43:24 +0800 2012
Subway,40.76211758,-73.92542481,Sat May 26 01:43:48 +0800 2012
Residential Building (Apartment / Condo),40.77219268,-73.95036451,Sat May 26 01:45:23 +0800 2012
Music Venue,40.731698,-73.98922694,Sat May 26 01:46:29 +0800 2012
Ice Cream Shop,40.72957975,-73.98691412,Sat May 26 01:47:16 +0800 2012
