spots,longtitude,latitude,datetime
Arts & Crafts Store,40.71981038,-74.00258103,Tue Apr 03 18:00:09 +0800 2012
Cosmetics Shop,40.706904,-74.00367,Tue Apr 03 21:53:44 +0800 2012
Home (private),40.82645768,-73.89482953,Tue Apr 03 21:53:59 +0800 2012
University,40.89690578,-74.03017044,Tue Apr 03 21:54:09 +0800 2012
Gym / Fitness Center,40.77799852,-73.95386021,Tue Apr 03 21:54:39 +0800 2012
College Academic Building,40.89851723,-74.02913151,Tue Apr 03 21:54:54 +0800 2012
Burger Joint,40.68047836,-73.97497083,Tue Apr 03 21:54:56 +0800 2012
Convenience Store,40.66498815,-73.90531083,Tue Apr 03 21:55:05 +0800 2012
Bus Station,40.7572213,-73.99154663,Tue Apr 03 21:55:10 +0800 2012
Train Station,40.74911015,-73.98845673,Tue Apr 03 21:55:39 +0800 2012
Event Space,40.76562484,-73.96783664,Tue Apr 03 21:55:46 +0800 2012
Fast Food Restaurant,40.62229464,-74.02759378,Tue Apr 03 21:55:52 +0800 2012
Office,40.75602574,-73.97033335,Tue Apr 03 21:55:54 +0800 2012
Pizza Place,40.747842,-74.030874,Tue Apr 03 21:55:55 +0800 2012
Mexican Restaurant,40.75557964,-73.97086143,Tue Apr 03 21:56:19 +0800 2012
Drugstore / Pharmacy,40.75892783,-73.96144262,Tue Apr 03 21:56:30 +0800 2012
Bar,40.75918262,-73.96217732,Tue Apr 03 21:56:56 +0800 2012
University,40.7111095,-74.00504351,Tue Apr 03 21:57:05 +0800 2012
Salon / Barbershop,40.66676014,-73.88194173,Tue Apr 03 21:57:17 +0800 2012
Community College,40.57840084,-73.93618584,Tue Apr 03 21:57:54 +0800 2012
Bridge,40.60679958,-74.04416981,Tue Apr 03 18:00:25 +0800 2012
Home (private),40.71616168,-73.88307006,Tue Apr 03 18:02:24 +0800 2012
Medical Center,40.7451638,-73.98251878,Tue Apr 03 18:02:41 +0800 2012
Office,40.7514116,-73.97994108,Tue Apr 03 19:00:31 +0800 2012
Cosmetics Shop,40.706904,-74.00367,Tue Apr 03 21:53:44 +0800 2012
Home (private),40.82645768,-73.89482953,Tue Apr 03 21:53:59 +0800 2012
University,40.89690578,-74.03017044,Tue Apr 03 21:54:09 +0800 2012
Gym / Fitness Center,40.77799852,-73.95386021,Tue Apr 03 21:54:39 +0800 2012
College Academic Building,40.89851723,-74.02913151,Tue Apr 03 21:54:54 +0800 2012
Burger Joint,40.68047836,-73.97497083,Tue Apr 03 21:54:56 +0800 2012
Convenience Store,40.66498815,-73.90531083,Tue Apr 03 21:55:05 +0800 2012
Bus Station,40.7572213,-73.99154663,Tue Apr 03 21:55:10 +0800 2012
Train Station,40.74911015,-73.98845673,Tue Apr 03 21:55:39 +0800 2012
Event Space,40.76562484,-73.96783664,Tue Apr 03 21:55:46 +0800 2012
Fast Food Restaurant,40.62229464,-74.02759378,Tue Apr 03 21:55:52 +0800 2012
Office,40.75602574,-73.97033335,Tue Apr 03 21:55:54 +0800 2012
